# time_fs  P_UP  P_LP  P_GS  P_DS
2.600000000000000000e+02 7.171124193821951098e-02 9.238933300889972111e-01 0.000000000000000000e+00 4.395427972783704645e-03
2.625000000000000000e+02 8.059804538990061884e-02 9.126070166119619742e-01 0.000000000000000000e+00 6.794937998137164960e-03
2.650000000000000000e+02 9.036463035439477876e-02 9.028332862565087158e-01 0.000000000000000000e+00 6.802083389095347522e-03
2.675000000000000000e+02 9.995209049721265337e-02 8.961551402221845652e-01 0.000000000000000000e+00 3.892769280602334254e-03
2.700000000000000000e+02 1.087360743602096141e-01 8.901450962275303525e-01 0.000000000000000000e+00 1.118829412259424302e-03
2.725000000000000000e+02 1.164663998267160411e-01 8.821961979177715962e-01 0.000000000000000000e+00 1.337402255511550408e-03
2.750000000000000000e+02 1.229805297752544907e-01 8.732106594048708592e-01 0.000000000000000000e+00 3.808810819873283560e-03
2.775000000000000000e+02 1.286008000246062211e-01 8.661266827239626487e-01 0.000000000000000000e+00 5.272517251431668890e-03
2.800000000000000000e+02 1.343846102039703561e-01 8.614225178956467222e-01 0.000000000000000000e+00 4.192871900381368346e-03
2.825000000000000000e+02 1.412732486625064288e-01 8.557296295021786792e-01 0.000000000000000000e+00 2.997121835313203315e-03
2.850000000000000000e+02 1.491786011857236249e-01 8.453714780119250261e-01 0.000000000000000000e+00 5.449920802350315986e-03
2.875000000000000000e+02 1.573705985800445961e-01 8.306624701674150124e-01 0.000000000000000000e+00 1.196693125253967677e-02
2.900000000000000000e+02 1.654547887573365461e-01 8.162699583794477132e-01 0.000000000000000000e+00 1.827525286321502601e-02
2.925000000000000000e+02 1.735043785884447243e-01 8.071519481164719512e-01 0.000000000000000000e+00 1.934367329508322741e-02
2.950000000000000000e+02 1.816190686075452310e-01 8.038602746002947441e-01 0.000000000000000000e+00 1.452065679216066156e-02
2.975000000000000000e+02 1.900406666057170013e-01 8.017659521418294410e-01 0.000000000000000000e+00 8.193381252454400715e-03
3.000000000000000000e+02 1.995544503399706293e-01 7.952087854816458634e-01 0.000000000000000000e+00 5.236764178384725917e-03
3.025000000000000000e+02 2.110078517421238031e-01 7.826730213179398099e-01 0.000000000000000000e+00 6.319126939938871958e-03
3.050000000000000000e+02 2.242163686179920179e-01 7.677918876759040057e-01 0.000000000000000000e+00 7.991743706106535158e-03
3.075000000000000000e+02 2.378274388046305587e-01 7.551837859283500043e-01 0.000000000000000000e+00 6.988775267021875119e-03
3.100000000000000000e+02 2.503807864883638712e-01 7.458444779646624667e-01 0.000000000000000000e+00 3.774735546976199126e-03
3.125000000000000000e+02 2.610643661091331946e-01 7.373755681371083615e-01 0.000000000000000000e+00 1.560065753760631405e-03
3.150000000000000000e+02 2.695640049257029824e-01 7.282135817353017071e-01 0.000000000000000000e+00 2.222413338997944639e-03
3.175000000000000000e+02 2.760478391478402571e-01 7.198029642217613766e-01 0.000000000000000000e+00 4.149196630401351740e-03
3.200000000000000000e+02 2.815591847749054910e-01 7.138160331108024392e-01 0.000000000000000000e+00 4.624782114295022256e-03
3.225000000000000000e+02 2.876474055205218150e-01 7.086242737608641207e-01 0.000000000000000000e+00 3.728320718619307101e-03
3.250000000000000000e+02 2.951096066298418696e-01 7.000973709477738005e-01 0.000000000000000000e+00 4.793022422388604209e-03
3.275000000000000000e+02 3.034627887626936693e-01 6.860216907805258835e-01 0.000000000000000000e+00 1.051552045678426708e-02
3.300000000000000000e+02 3.118110812041415825e-01 6.691690125995485294e-01 0.000000000000000000e+00 1.901990619631343735e-02
3.325000000000000000e+02 3.197434023973027561e-01 6.555918559118156796e-01 0.000000000000000000e+00 2.466474169088572754e-02
3.350000000000000000e+02 3.272950615532341789e-01 6.494204247242925110e-01 0.000000000000000000e+00 2.328451372247781689e-02
3.375000000000000000e+02 3.347242283612224534e-01 6.489007635553293296e-01 0.000000000000000000e+00 1.637500808345272729e-02
3.400000000000000000e+02 3.427479996721427002e-01 6.476506494710965178e-01 0.000000000000000000e+00 9.601350856767157035e-03
3.425000000000000000e+02 3.524910401301759588e-01 6.402675553076125903e-01 0.000000000000000000e+00 7.241404562218234538e-03
3.450000000000000000e+02 3.645250710491151347e-01 6.269400485593583650e-01 0.000000000000000000e+00 8.534880391532585764e-03
3.475000000000000000e+02 3.779991904515788148e-01 6.125360826370997991e-01 0.000000000000000000e+00 9.464726911327653661e-03
3.500000000000000000e+02 3.910834070804963258e-01 6.014027110277038179e-01 0.000000000000000000e+00 7.513881891806265152e-03
3.525000000000000000e+02 4.021511088101978326e-01 5.937369892840100860e-01 0.000000000000000000e+00 4.111901905800105332e-03
3.550000000000000000e+02 4.103409637460777581e-01 5.872731146963785509e-01 0.000000000000000000e+00 2.385921557551699303e-03
3.575000000000000000e+02 4.155273224804803545e-01 5.812568357567392541e-01 0.000000000000000000e+00 3.215841762787735852e-03
3.600000000000000000e+02 4.184788026766679270e-01 5.770315293966294945e-01 0.000000000000000000e+00 4.489667926708614497e-03
3.625000000000000000e+02 4.208416349925990230e-01 5.747842207563158556e-01 0.000000000000000000e+00 4.374144251093190459e-03
3.650000000000000000e+02 4.241871224231844040e-01 5.714757556062151078e-01 0.000000000000000000e+00 4.337121970608444517e-03
3.675000000000000000e+02 4.288802804920822664e-01 5.632363011163918909e-01 0.000000000000000000e+00 7.883418391534818132e-03
3.700000000000000000e+02 4.341427526175971607e-01 5.497761792647589685e-01 0.000000000000000000e+00 1.608106811765178459e-02
3.725000000000000000e+02 4.390602045116789864e-01 5.359132835240912884e-01 0.000000000000000000e+00 2.502651196423718791e-02
3.750000000000000000e+02 4.432285679883441465e-01 5.280865775512407767e-01 0.000000000000000000e+00 2.868485446042265755e-02
3.775000000000000000e+02 4.467634222847958747e-01 5.286466082428046276e-01 0.000000000000000000e+00 2.458996947240685987e-02
3.800000000000000000e+02 4.502939780329356934e-01 5.333596725899896196e-01 0.000000000000000000e+00 1.634634937708050878e-02
3.825000000000000000e+02 4.549542368914991641e-01 5.349210800292645285e-01 0.000000000000000000e+00 1.012468307924220198e-02
3.850000000000000000e+02 4.618043087459211549e-01 5.293019628047773706e-01 0.000000000000000000e+00 8.893728449305476555e-03
3.875000000000000000e+02 4.708474840169460940e-01 5.187665183400483881e-01 0.000000000000000000e+00 1.038599764300890058e-02
3.900000000000000000e+02 4.806965536665979699e-01 5.088846029065869914e-01 0.000000000000000000e+00 1.041884342681898869e-02
3.925000000000000000e+02 4.893350000270263456e-01 5.031127594763031841e-01 0.000000000000000000e+00 7.552240496672911127e-03
3.950000000000000000e+02 4.951403113364470920e-01 5.007488487923632547e-01 0.000000000000000000e+00 4.110839871193342973e-03
3.975000000000000000e+02 4.973929509387934877e-01 4.997184071464041977e-01 0.000000000000000000e+00 2.888641914806172172e-03
4.000000000000000000e+02 4.964387891455184776e-01 4.997783457949070418e-01 0.000000000000000000e+00 3.782865059578146942e-03
4.025000000000000000e+02 4.936693111312297488e-01 5.018372112409991148e-01 0.000000000000000000e+00 4.493477627775457547e-03
4.050000000000000000e+02 4.909182831312745576e-01 5.048771034580031847e-01 0.000000000000000000e+00 4.204613410725080089e-03
4.075000000000000000e+02 4.893630073040835526e-01 5.052578276611939812e-01 0.000000000000000000e+00 5.379165034724714411e-03
4.100000000000000000e+02 4.889321161525165826e-01 5.000190873873329167e-01 0.000000000000000000e+00 1.104879646015331264e-02
4.125000000000000000e+02 4.887454228711720639e-01 4.907950523569983847e-01 0.000000000000000000e+00 2.045952477183082124e-02
