# time_fs  P_exc  P_photon
6.750000000000000000e+02 6.989491655965782702e-01 3.010508344034396044e-01
6.775000000000000000e+02 6.620917698653089323e-01 3.379082301347077211e-01
6.800000000000000000e+02 5.335746385155282212e-01 4.664253614844884321e-01
6.825000000000000000e+02 3.805525886921156675e-01 6.194474113079010413e-01
6.850000000000000000e+02 2.874823508359975466e-01 7.125176491640201615e-01
6.875000000000000000e+02 3.099826272785074499e-01 6.900173727215098696e-01
6.900000000000000000e+02 4.431983900584588465e-01 5.568016099415580289e-01
6.925000000000000000e+02 6.211049215571826654e-01 3.788950784428353757e-01
6.950000000000000000e+02 7.481824274213487724e-01 2.518175725786691577e-01
6.975000000000000000e+02 7.494543557812769485e-01 2.505456442187418142e-01
7.000000000000000000e+02 6.141814410171536620e-01 3.858185589828647677e-01
7.025000000000000000e+02 4.081309712527563804e-01 5.918690287472627709e-01
7.050000000000000000e+02 2.430412628751484061e-01 7.569587371248702734e-01
7.075000000000000000e+02 2.157338862754338560e-01 7.842661137245856562e-01
7.100000000000000000e+02 3.501546696988253604e-01 6.498453303011941795e-01
7.125000000000000000e+02 5.782543591509849978e-01 4.217456408490350972e-01
7.150000000000000000e+02 7.746561645806162577e-01 2.253438354194041704e-01
7.175000000000000000e+02 8.270411681920577518e-01 1.729588318079621212e-01
7.200000000000000000e+02 7.011482117752985133e-01 2.988517882247213597e-01
7.225000000000000000e+02 4.619944648272109045e-01 5.380055351728089130e-01
7.250000000000000000e+02 2.391084287718382995e-01 7.608915712281808519e-01
7.275000000000000000e+02 1.558756465769697286e-01 8.441243534230515877e-01
7.300000000000000000e+02 2.621524372458738927e-01 7.378475627541472015e-01
7.325000000000000000e+02 5.059662910380674505e-01 4.940337089619549760e-01
7.350000000000000000e+02 7.588686962155680726e-01 2.411313037844534102e-01
7.375000000000000000e+02 8.825219404705511028e-01 1.174780595294707269e-01
7.400000000000000000e+02 8.033647802581749264e-01 1.966352197418466397e-01
7.425000000000000000e+02 5.562488732551258419e-01 4.437511267448967511e-01
