# time_fs  Nvib_ground  Evib_ground_eV  Nvib_excited  Evib_excited_eV
1.245000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.772509602381006771e-02 3.527294108738203600e-03
1.247500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.632947347896127249e-02 5.239565222313294357e-03
1.250000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.938459977646160765e-02 5.847535355515860733e-03
1.252500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.587011049725238335e-02 5.148151988953224983e-03
1.255000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.011512221477112713e-02 4.002909320739454768e-03
1.257500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.766582141255308019e-02 3.515498461098063090e-03
1.260000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.038138833212554610e-02 4.055896278092984211e-03
1.262500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.544059001884262095e-02 5.062677413749681887e-03
1.265000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.873377330504257865e-02 5.718020887703473970e-03
1.267500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.897142187325968399e-02 5.765312952778677870e-03
1.270000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.829964408813478299e-02 5.631629173538822176e-03
1.272500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.902100746685603444e-02 5.775180485904351027e-03
1.275000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.064495988932058879e-02 6.098347017974798355e-03
1.277500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.124132657074800423e-02 6.217023987578854105e-03
1.280000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.148227889097671844e-02 6.264973499304367019e-03
1.282500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.579106445212884569e-02 7.122421825973641353e-03
1.285000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.819100760762628360e-02 9.590010513917631915e-03
1.287500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.709806154157658964e-02 1.335251424677374316e-02
1.290000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 8.518253418779146713e-02 1.695132430337050258e-02
1.292500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.510520187203740095e-02 1.892593517253544563e-02
1.295000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.556454600868272142e-02 1.901734465572786290e-02
1.297500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.185237232698126308e-02 1.827862209306927235e-02
1.300000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.087492769435030759e-02 1.808411061117571120e-02
1.302500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 9.578770986215953687e-02 1.906175426256975086e-02
1.305000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.049744467115585889e-01 2.088991489560016249e-02
1.307500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.152526555429607413e-01 2.293527845304918836e-02
1.310000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.250664243960284971e-01 2.488821845480967618e-02
1.312500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.342278105042553349e-01 2.671133429034681581e-02
1.315000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.415793476476965296e-01 2.817429018189161402e-02
1.317500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.448655254931796310e-01 2.882823957314275057e-02
1.320000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.440348884473914293e-01 2.866294280103089467e-02
1.322500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.439306257133459443e-01 2.864219451695584548e-02
1.325000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.519520485448790370e-01 3.023845766043093200e-02
1.327500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.716910393176591110e-01 3.416651682421416314e-02
1.330000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.985349760745000469e-01 3.950846023882551711e-02
1.332500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.220924530993695634e-01 4.419639816677455035e-02
1.335000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.339194399936779523e-01 4.654996855874191791e-02
1.337500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.337640524379464846e-01 4.651904643515135385e-02
1.340000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.288977804761963275e-01 4.555065831476307059e-02
1.342500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.277704583460106180e-01 4.532632121085612004e-02
1.345000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.342512864621843771e-01 4.661600600597469446e-02
1.347500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.470694299871367683e-01 4.916681656744022189e-02
1.350000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.630778212557069451e-01 5.235248642988568624e-02
1.352500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.795654443628574071e-01 5.563352342820862551e-02
1.355000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.936509941994817630e-01 5.843654784569687205e-02
1.357500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.016566458925405980e-01 6.002967253261558278e-02
1.360000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.015056122547231099e-01 5.999961683868990092e-02
1.362500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.963905149925191718e-01 5.898171248351132684e-02
1.365000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.948820053706031619e-01 5.868151906875002793e-02
1.367500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.055555706940992766e-01 6.080555856812575738e-02
1.370000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.298951494693077025e-01 6.564913474439224017e-02
1.372500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.597656675831756301e-01 7.159336784905195872e-02
