# time_fs Evib_g_n0_eV Evib_g_n1_eV Evib_g_n2_eV Evib_g_n3_eV Evib_g_n4_eV Evib_e_n0_eV Evib_e_n1_eV Evib_e_n2_eV Evib_e_n3_eV Evib_e_n4_eV
4.850000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.084996634065151601e-03 3.852305683589536878e-05 2.504452945388260843e-07 1.024463796007585650e-09
4.875000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.108352165776403962e-03 5.050017096229920260e-05 4.973523608545613508e-07 3.319410758424701413e-09
4.900000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.035642078577416213e-03 5.395266631653309155e-05 6.096534144225990900e-07 4.333600081620098940e-09
4.925000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.293552313967754594e-03 5.209676386450999943e-05 5.208828405358471987e-07 2.788901720830263066e-09
4.950000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.129914094244827458e-03 4.924129435365668853e-05 3.896592937142840771e-07 1.708497329170932941e-09
4.975000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.363213265210149419e-03 4.690480810990625232e-05 3.321062237299576789e-07 1.485079577688704748e-09
5.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.050356818988637531e-02 4.708051174829517145e-05 3.210809605773692639e-07 1.249784343412461133e-09
5.025000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.115003731654657694e-02 4.770369333270857470e-05 3.456423410310570836e-07 1.432232034631494752e-09
5.050000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.126922406482749710e-02 4.131865884155532724e-05 3.685496392336515657e-07 2.011175470255367158e-09
5.075000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.111930340972908625e-02 2.719909957400220961e-05 2.599534867258132560e-07 1.863523441446839200e-09
5.100000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.099306403755610957e-02 1.396269816439074886e-05 8.863940789174965406e-08 5.582103432393592650e-10
5.125000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.106717479320518289e-02 7.601321258700620972e-06 1.621182885765987020e-08 1.497447881645632363e-11
5.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.141730894153613132e-02 8.005195002184605223e-06 4.534335179252729742e-08 2.585246042088156431e-10
5.175000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.207033109107194177e-02 1.377942630870850482e-05 1.066087679697695702e-07 4.730151048019667545e-10
5.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.298203844443648197e-02 2.262228150261926774e-05 1.622990961781633158e-07 7.044367554635332165e-10
5.225000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.396143904009164785e-02 3.372098952758912938e-05 1.895118239050675979e-07 8.072394232675158247e-10
5.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.468489590472921852e-02 4.945461846520577006e-05 2.580631535469290402e-07 7.556055869158472011e-10
5.275000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.489753154482238717e-02 6.706223724059108006e-05 5.107959402323808793e-07 2.442159684917972960e-09
5.300000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.467247337604991528e-02 7.732460664338676329e-05 7.857325478247692786e-07 5.241537515548692341e-09
