# time_fs P_g_n0 P_g_n1 P_g_n2 P_g_n3 P_g_n4 P_e_n0 P_e_n1 P_e_n2 P_e_n3 P_e_n4
1.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.168783954211066067e-01 8.304487157681195164e-02 7.639286075904997038e-05 3.388575538524702857e-07 1.283771465468393726e-09
1.225000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.164530308033840278e-01 8.346430066625468158e-02 8.226519412591720400e-05 4.020459014910655352e-07 1.290336921226312467e-09
1.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.176033895357086356e-01 8.231674013999777662e-02 7.947140256543550724e-05 3.977560052702909629e-07 1.165724407800372877e-09
1.275000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.188887810835864034e-01 8.102096023058050211e-02 8.989286380974591316e-05 3.646469249068324526e-07 1.175101391317825061e-09
1.300000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.180517975374982154e-01 8.181809785982629979e-02 1.295602177003874476e-04 5.431257365636561798e-07 1.259240194645304154e-09
1.325000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.136659647122041816e-01 8.613344515250080657e-02 1.994022619707351974e-04 1.182798750697217431e-06 5.074575835096166180e-09
1.350000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.065980792719388059e-01 9.312432506623373463e-02 2.756689894018220992e-04 1.916887343471825890e-06 9.785083199487043455e-09
1.375000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.997290760962097789e-01 9.995844848558516071e-02 3.105204141482381663e-04 1.946546928589563198e-06 8.457130196919651566e-09
1.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.959696233334923932e-01 1.037517178744602059e-01 2.773301990378386223e-04 1.324333347329210279e-06 4.259663682565075092e-09
1.425000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.961640107626767104e-01 1.036298067962756614e-01 2.053349696245721986e-04 8.449785218711602258e-07 2.492902000121009245e-09
1.450000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.985951091454493778e-01 1.012615178412624439e-01 1.426954469929160986e-04 6.752564680420979332e-07 2.309825857378899805e-09
1.475000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.004346777321705630e-01 9.945771983009545070e-02 1.070258165866581142e-04 5.748886407177484802e-07 1.732505408555727215e-09
1.500000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.997813190232654135e-01 1.001281536088637347e-01 9.002483761462139796e-05 5.006957920077430579e-07 1.834463105064938609e-09
1.525000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.965659878932092930e-01 1.033529117438315298e-01 8.069139299176101773e-05 4.072709046766582690e-07 1.699061206649259811e-09
1.550000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.919710394098433470e-01 1.079535193149124966e-01 7.518511714996695225e-05 2.555581891249692179e-07 5.999040220761815502e-10
1.575000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.874172587740479790e-01 1.125017865267256140e-01 8.072418716285031709e-05 2.300754391333441930e-07 4.366235629975414727e-10
1.600000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.840841186082765146e-01 1.158149363185895925e-01 1.005360117904221281e-04 4.076879489941197297e-07 1.373393683676079155e-09
1.625000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.828686528741029882e-01 1.170134798560421574e-01 1.173086994379223978e-04 5.565087168230558261e-07 2.061699717109244487e-09
1.650000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.841185156344166796e-01 1.157640885530619584e-01 1.168002520797782411e-04 5.938441679701681954e-07 1.716273820541568141e-09
1.675000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.870050162561310403e-01 1.128798099919871012e-01 1.146291539382370114e-04 5.427949527016607279e-07 1.802990608311239873e-09
1.700000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.893451247922228298e-01 1.105179497536839806e-01 1.363961320150785291e-04 5.279299050923574179e-07 1.392172481220444450e-09
1.725000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.886888579990841475e-01 1.111178987709718347e-01 1.923266245643416659e-04 9.139110567167877895e-07 2.694321977442092422e-09
1.750000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.841832643938991598e-01 1.155424367967511079e-01 2.725386946814856875e-04 1.751824228453204036e-06 8.290439214552301813e-09
1.775000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.775843323939817031e-01 1.220737003974031454e-01 3.396466171027168884e-04 2.309461650939183870e-06 1.112986007264933208e-08
1.800000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.722891162166805934e-01 1.273630417058367048e-01 3.458819206278582669e-04 1.952577183026470286e-06 7.579669798551927368e-09
1.825000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.709601576719530058e-01 1.287531497939574943e-01 2.854407339104183096e-04 1.248178461133681572e-06 3.621716007661330856e-09
1.850000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.736176523014247408e-01 1.261767651840242088e-01 2.046887829926497915e-04 8.908457561475629566e-07 2.885801162233347846e-09
